conflict_id,link_id_a,link_id_b,device_class,conflict_type,min_frequency_separation_khz,min_spatial_separation_m,hard_constraint,reason,source
CF-0051,LK-0001,LK-0108,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0052,LK-0001,LK-0112,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0053,LK-0001,LK-0417,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0054,LK-0002,LK-0004,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0055,LK-0002,LK-0006,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0056,LK-0002,LK-0007,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0057,LK-0002,LK-0009,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0058,LK-0002,LK-0011,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0059,LK-0002,LK-0012,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0060,LK-0002,LK-0013,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0061,LK-0002,LK-0014,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0062,LK-0002,LK-0015,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0063,LK-0002,LK-0017,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0064,LK-0002,LK-0018,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0065,LK-0002,LK-0020,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0066,LK-0002,LK-0021,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0067,LK-0002,LK-0022,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0068,LK-0002,LK-0025,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0069,LK-0002,LK-0026,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0070,LK-0002,LK-0028,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0071,LK-0002,LK-0029,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0072,LK-0002,LK-0031,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0073,LK-0002,LK-0032,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0074,LK-0002,LK-0033,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0075,LK-0002,LK-0034,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0076,LK-0002,LK-0035,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0077,LK-0002,LK-0036,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0078,LK-0002,LK-0040,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0079,LK-0002,LK-0042,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0080,LK-0002,LK-0043,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0081,LK-0002,LK-0044,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0082,LK-0002,LK-0045,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0083,LK-0002,LK-0052,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0084,LK-0002,LK-0055,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0085,LK-0002,LK-0056,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0086,LK-0002,LK-0059,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0087,LK-0002,LK-0063,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0088,LK-0002,LK-0064,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0089,LK-0002,LK-0065,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0090,LK-0002,LK-0070,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0091,LK-0002,LK-0071,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0092,LK-0002,LK-0073,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0093,LK-0002,LK-0076,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0094,LK-0002,LK-0084,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0095,LK-0002,LK-0085,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0096,LK-0002,LK-0089,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0097,LK-0002,LK-0091,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0098,LK-0002,LK-0092,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0099,LK-0002,LK-0100,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0100,LK-0002,LK-0101,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0101,LK-0002,LK-0103,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0102,LK-0002,LK-0105,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0103,LK-0002,LK-0108,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0104,LK-0002,LK-0112,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0105,LK-0002,LK-0136,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0106,LK-0002,LK-0151,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0107,LK-0002,LK-0476,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0108,LK-0004,LK-0006,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0109,LK-0004,LK-0007,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0110,LK-0004,LK-0009,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0111,LK-0004,LK-0011,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0112,LK-0004,LK-0012,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0113,LK-0004,LK-0013,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0114,LK-0004,LK-0014,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0115,LK-0004,LK-0015,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0116,LK-0004,LK-0017,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0117,LK-0004,LK-0018,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0118,LK-0004,LK-0020,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0119,LK-0004,LK-0021,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0120,LK-0004,LK-0022,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0121,LK-0004,LK-0025,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0122,LK-0004,LK-0026,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0123,LK-0004,LK-0028,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0124,LK-0004,LK-0029,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0125,LK-0004,LK-0031,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0126,LK-0004,LK-0032,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0127,LK-0004,LK-0033,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0128,LK-0004,LK-0034,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0129,LK-0004,LK-0035,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0130,LK-0004,LK-0036,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0131,LK-0004,LK-0040,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0132,LK-0004,LK-0042,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0133,LK-0004,LK-0043,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0134,LK-0004,LK-0044,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0135,LK-0004,LK-0045,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0136,LK-0004,LK-0052,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0137,LK-0004,LK-0055,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0138,LK-0004,LK-0056,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0139,LK-0004,LK-0059,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0140,LK-0004,LK-0063,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0141,LK-0004,LK-0064,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0142,LK-0004,LK-0065,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0143,LK-0004,LK-0070,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0144,LK-0004,LK-0071,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0145,LK-0004,LK-0073,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0146,LK-0004,LK-0076,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0147,LK-0004,LK-0084,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0148,LK-0004,LK-0085,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0149,LK-0004,LK-0089,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0150,LK-0004,LK-0091,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0151,LK-0004,LK-0092,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0152,LK-0004,LK-0100,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0153,LK-0004,LK-0101,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0154,LK-0004,LK-0103,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0155,LK-0004,LK-0105,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0156,LK-0004,LK-0108,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0157,LK-0004,LK-0112,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0158,LK-0004,LK-0160,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0159,LK-0004,LK-0441,HF,SHARED_NODE,24.0,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
CF-0160,LK-0006,LK-0007,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0161,LK-0006,LK-0009,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0162,LK-0006,LK-0011,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0163,LK-0006,LK-0012,HF,ADJACENT_CHANNEL_NEAR_PATH,0.5,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0164,LK-0006,LK-0013,HF,ADJACENT_CHANNEL_NEAR_PATH,0.5,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0165,LK-0006,LK-0014,HF,ADJACENT_CHANNEL_NEAR_PATH,0.5,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0166,LK-0006,LK-0015,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0167,LK-0006,LK-0017,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0168,LK-0006,LK-0018,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0169,LK-0006,LK-0020,HF,ADJACENT_CHANNEL_NEAR_PATH,24.0,60000,false,近距离相邻信道需保护间隔,DERIVED_TOPOLOGY
CF-0170,LK-0006,LK-0021,HF,SHARED_NODE,0.5,0,true,共享节点不可同频复用,DERIVED_TOPOLOGY
