link_id,node_a_id,node_b_id,device_a_id,device_b_id,device_class,freq_khz,bandwidth_khz,distance_m,path_loss_db,rx_power_dbm,link_margin_db,is_available,link_state,is_backup
LK-0066,ND-0024,ND-0048,DV-0024,DV-0048,HF,3195,3.0,4520.7,69.09,-18.09,71.14,true,EXCELLENT,false
LK-0067,ND-0046,ND-0058,DV-0046,DV-0058,HF,3195,3.0,4523.7,69.1,-15.1,74.13,true,EXCELLENT,false
LK-0068,ND-0081,ND-0137,DV-0081,DV-0137,VUHF,31325,25.0,4527.7,82.51,-51.51,55.51,true,EXCELLENT,false
LK-0069,ND-0076,ND-0132,DV-0076,DV-0132,VUHF,31325,25.0,4600.1,82.95,-37.95,69.07,true,EXCELLENT,false
LK-0070,ND-0015,ND-0087,DV-0015,DV-0087,VUHF,31325,25.0,4742.9,83.54,-34.54,72.48,true,EXCELLENT,false
LK-0071,ND-0042,ND-0066,DV-0042,DV-0066,HF,3195,3.0,4786.8,69.87,-32.87,56.36,true,EXCELLENT,false
LK-0072,ND-0080,ND-0116,DV-0080,DV-0116,VUHF,30125,25.0,4830.1,82.49,-41.49,65.53,true,EXCELLENT,false
LK-0073,ND-0093,ND-0109,DV-0093,DV-0109,VUHF,31325,25.0,4928.2,89.28,-48.28,58.74,true,EXCELLENT,false
LK-0074,ND-0009,ND-0155,DV-0009,DV-0155,VUHF,31325,25.0,4971.5,107.84,-69.84,37.18,true,EXCELLENT,false
LK-0075,ND-0113,ND-0117,DV-0113,DV-0117,VUHF,31325,25.0,5029.9,83.69,-42.69,64.33,true,EXCELLENT,false
LK-0076,ND-0035,ND-0059,DV-0035,DV-0059,HF,3195,3.0,5052.7,73.09,-22.09,67.14,true,EXCELLENT,false
LK-0077,ND-0021,ND-0123,DV-0021,DV-0123,VUHF,31325,25.0,5264.3,81.85,-39.85,67.17,true,EXCELLENT,false
LK-0078,ND-0032,ND-0064,DV-0032,DV-0064,HF,3195,3.0,5432.3,76.42,-25.42,63.81,true,EXCELLENT,false
LK-0079,ND-0073,ND-0125,DV-0073,DV-0125,VUHF,30125,25.0,5473.8,77.34,-38.34,68.68,true,EXCELLENT,false
LK-0080,ND-0110,ND-0154,DV-0110,DV-0154,VUHF,30125,25.0,5502.7,77.39,-36.39,70.63,true,EXCELLENT,false
LK-0081,ND-0027,ND-0031,DV-0027,DV-0031,HF,3195,3.0,5621.8,72.1,-31.1,58.13,true,EXCELLENT,false
LK-0082,ND-0115,ND-0147,DV-0115,DV-0147,VUHF,31325,25.0,5645.8,107.23,-68.23,38.79,true,EXCELLENT,false
LK-0083,ND-0102,ND-0110,DV-0102,DV-0110,VUHF,31325,25.0,5685.4,78.02,-31.02,76.0,true,EXCELLENT,false
LK-0084,ND-0046,ND-0050,DV-0046,DV-0050,HF,3195,3.0,5839.4,72.64,-22.64,66.59,true,EXCELLENT,false
LK-0085,ND-0031,ND-0063,DV-0031,DV-0063,HF,3195,3.0,6006.9,73.04,-32.04,57.19,true,EXCELLENT,false
LK-0086,ND-0122,ND-0134,DV-0122,DV-0134,VUHF,31325,25.0,6065.4,78.58,-29.58,77.44,true,EXCELLENT,false
LK-0087,ND-0005,ND-0008,DV-0005,DV-0008,HF,3195,3.0,6098.7,75.9,-15.9,73.33,true,EXCELLENT,false
LK-0088,ND-0067,ND-0095,DV-0067,DV-0095,VUHF,30125,25.0,6166.9,115.5,-76.5,30.52,true,EXCELLENT,false
LK-0089,ND-0028,ND-0064,DV-0028,DV-0064,HF,3195,3.0,6209.1,78.54,-27.54,61.69,true,EXCELLENT,false
LK-0090,ND-0042,ND-0058,DV-0042,DV-0058,HF,3195,3.0,6220.7,73.53,-17.73,71.5,true,EXCELLENT,false
LK-0091,ND-0002,ND-0003,DV-0002,DV-0003,HF,3195,3.0,6304.1,76.4,-16.4,72.83,true,EXCELLENT,false
LK-0092,ND-0083,ND-0119,DV-0083,DV-0119,VUHF,31325,25.0,6336.8,114.73,-73.73,33.3,true,EXCELLENT,false
LK-0093,ND-0088,ND-0152,DV-0088,DV-0152,VUHF,31325,25.0,6408.2,85.53,-50.53,56.49,true,EXCELLENT,false
LK-0094,ND-0080,ND-0132,DV-0080,DV-0132,VUHF,30125,25.0,6413.3,85.01,-37.01,70.01,true,EXCELLENT,false
LK-0095,ND-0005,ND-0007,DV-0005,DV-0007,HF,3195,3.0,6440.7,74.03,-14.03,75.2,true,EXCELLENT,false
LK-0096,ND-0104,ND-0124,DV-0104,DV-0124,VUHF,31325,25.0,6474.4,85.88,-40.88,66.14,true,EXCELLENT,false
LK-0097,ND-0131,ND-0143,DV-0131,DV-0143,VUHF,31325,25.0,6480.5,89.36,-44.36,62.66,true,EXCELLENT,false
LK-0098,ND-0025,ND-0053,DV-0025,DV-0053,HF,3195,3.0,6530.9,74.23,-45.23,44.0,true,EXCELLENT,false
LK-0099,ND-0035,ND-0043,DV-0035,DV-0043,HF,3195,3.0,6562.4,74.29,-31.29,57.93,true,EXCELLENT,false
LK-0100,ND-0144,ND-0151,DV-0144,DV-0151,VUHF,30125,25.0,6650.4,88.18,-50.18,56.84,true,EXCELLENT,false
LK-0101,ND-0007,ND-0027,DV-0007,DV-0027,HF,3195,3.0,6678.3,77.29,-36.29,52.94,true,EXCELLENT,false
LK-0102,ND-0034,ND-0038,DV-0034,DV-0038,HF,3195,3.0,6726.4,77.4,-34.4,54.83,true,EXCELLENT,false
LK-0103,ND-0073,ND-0109,DV-0073,DV-0109,VUHF,30125,25.0,6836.8,79.28,-40.28,66.74,true,EXCELLENT,false
LK-0104,ND-0073,ND-0085,DV-0073,DV-0085,VUHF,30125,25.0,6886.2,85.78,-42.78,64.24,true,EXCELLENT,false
LK-0105,ND-0013,ND-0021,DV-0013,DV-0021,VUHF,31325,25.0,6893.5,111.09,-60.09,46.93,true,EXCELLENT,false
LK-0106,ND-0090,ND-0138,DV-0090,DV-0138,VUHF,30125,25.0,6984.9,79.46,-41.46,65.56,true,EXCELLENT,false
LK-0107,ND-0042,ND-0062,DV-0042,DV-0062,HF,3195,3.0,7012.5,75.25,-22.25,66.98,true,EXCELLENT,false
LK-0108,ND-0009,ND-0018,DV-0009,DV-0018,VUHF,31325,25.0,7058.8,84.4,-33.4,73.62,true,EXCELLENT,false
LK-0109,ND-0074,ND-0090,DV-0074,DV-0090,VUHF,31325,25.0,7304.3,86.66,-47.66,59.36,true,EXCELLENT,false
LK-0110,ND-0084,ND-0140,DV-0084,DV-0140,VUHF,30125,25.0,7469.5,88.4,-57.4,49.62,true,EXCELLENT,false
LK-0111,ND-0006,ND-0008,DV-0006,DV-0008,HF,3195,3.0,7491.6,79.07,-19.07,70.16,true,EXCELLENT,false
LK-0112,ND-0079,ND-0095,DV-0079,DV-0095,VUHF,31325,25.0,7506.8,88.87,-49.87,57.15,true,EXCELLENT,false
LK-0113,ND-0002,ND-0055,DV-0002,DV-0055,HF,3195,3.0,7654.4,76.53,-35.53,53.7,true,EXCELLENT,false
LK-0114,ND-0038,ND-0050,DV-0038,DV-0050,HF,3195,3.0,7720.8,76.65,-30.65,58.58,true,EXCELLENT,false
LK-0115,ND-0032,ND-0052,DV-0032,DV-0052,HF,3195,3.0,7741.1,76.69,-29.69,59.54,true,EXCELLENT,false
LK-0116,ND-0079,ND-0119,DV-0079,DV-0119,VUHF,31325,25.0,7749.4,116.44,-75.44,31.58,true,EXCELLENT,false
LK-0117,ND-0037,ND-0065,DV-0037,DV-0065,HF,3195,3.0,7768.7,76.74,-39.74,49.49,true,EXCELLENT,false
LK-0118,ND-0009,ND-0143,DV-0009,DV-0143,VUHF,31325,25.0,7899.0,93.98,-38.98,68.04,true,EXCELLENT,false
LK-0119,ND-0094,ND-0122,DV-0094,DV-0122,VUHF,31325,25.0,8093.6,81.08,-32.08,74.94,true,EXCELLENT,false
LK-0120,ND-0004,ND-0044,DV-0004,DV-0044,HF,3195,3.0,8227.7,77.59,-26.59,62.64,true,EXCELLENT,false
LK-0121,ND-0045,ND-0061,DV-0045,DV-0061,HF,3195,3.0,8230.6,80.55,-47.55,41.68,true,EXCELLENT,false
LK-0122,ND-0122,ND-0146,DV-0122,DV-0146,VUHF,31325,25.0,8356.1,81.36,-34.36,72.66,true,EXCELLENT,false
LK-0123,ND-0033,ND-0041,DV-0033,DV-0041,HF,3195,3.0,8363.8,77.83,-30.83,58.4,true,EXCELLENT,false
LK-0124,ND-0069,ND-0117,DV-0069,DV-0117,VUHF,31325,25.0,8411.2,87.6,-42.6,64.42,true,EXCELLENT,false
LK-0125,ND-0009,ND-0079,DV-0009,DV-0079,VUHF,31325,25.0,8622.8,86.13,-41.13,65.89,true,EXCELLENT,false
LK-0126,ND-0026,ND-0050,DV-0026,DV-0050,HF,3195,3.0,8662.4,78.36,-35.36,53.87,true,EXCELLENT,false
LK-0127,ND-0018,ND-0155,DV-0018,DV-0155,VUHF,31325,25.0,8703.9,86.22,-52.22,54.8,true,EXCELLENT,false
LK-0128,ND-0033,ND-0057,DV-0033,DV-0057,HF,3195,3.0,8728.7,78.47,-31.47,57.76,true,EXCELLENT,false
LK-0129,ND-0004,ND-0048,DV-0004,DV-0048,HF,3195,3.0,8923.8,78.8,-24.8,64.43,true,EXCELLENT,false
LK-0130,ND-0102,ND-0118,DV-0102,DV-0118,VUHF,31325,25.0,9124.2,82.41,-37.41,69.61,true,EXCELLENT,false
LK-0131,ND-0074,ND-0114,DV-0074,DV-0114,VUHF,31325,25.0,9147.2,82.15,-43.15,63.87,true,EXCELLENT,false
LK-0132,ND-0137,ND-0149,DV-0137,DV-0149,VUHF,30125,25.0,9239.7,81.89,-42.89,64.13,true,EXCELLENT,false
LK-0133,ND-0076,ND-0092,DV-0076,DV-0092,VUHF,31325,25.0,9473.4,90.18,-45.18,61.84,true,EXCELLENT,false
LK-0134,ND-0097,ND-0149,DV-0097,DV-0149,VUHF,31325,25.0,9570.4,88.7,-49.7,57.32,true,EXCELLENT,false
LK-0135,ND-0121,ND-0141,DV-0121,DV-0141,VUHF,30125,25.0,9601.7,82.23,-44.23,62.79,true,EXCELLENT,false
LK-0136,ND-0057,ND-0065,DV-0057,DV-0065,HF,3195,3.0,9691.6,80.05,-43.05,46.18,true,EXCELLENT,false
LK-0137,ND-0009,ND-0131,DV-0009,DV-0131,VUHF,31325,25.0,9862.8,97.68,-52.68,54.34,true,EXCELLENT,false
LK-0138,ND-0001,ND-0003,DV-0001,DV-0003,HF,3195,3.0,9880.9,80.34,-20.34,68.89,true,EXCELLENT,false
LK-0139,ND-0007,ND-0047,DV-0007,DV-0047,HF,3195,3.0,9969.4,80.48,-33.48,55.75,true,EXCELLENT,false
LK-0140,ND-0009,ND-0083,DV-0009,DV-0083,VUHF,31325,25.0,10027.7,87.45,-42.45,64.57,true,EXCELLENT,false
LK-0141,ND-0080,ND-0104,DV-0080,DV-0104,VUHF,30125,25.0,10093.1,90.04,-45.04,61.98,true,EXCELLENT,false
LK-0142,ND-0049,ND-0061,DV-0049,DV-0061,HF,3195,3.0,10267.6,80.93,-47.93,41.3,true,EXCELLENT,false
LK-0143,ND-0089,ND-0097,DV-0089,DV-0097,VUHF,31325,25.0,10322.7,89.65,-42.65,64.37,true,EXCELLENT,false
LK-0144,ND-0081,ND-0097,DV-0081,DV-0097,VUHF,31325,25.0,10348.5,96.02,-65.02,42.0,true,EXCELLENT,false
LK-0145,ND-0001,ND-0044,DV-0001,DV-0044,HF,3195,3.0,10490.4,81.26,-30.26,58.97,true,EXCELLENT,false
LK-0146,ND-0007,ND-0023,DV-0007,DV-0023,HF,3195,3.0,10542.7,81.34,-30.34,58.89,true,EXCELLENT,false
LK-0147,ND-0086,ND-0146,DV-0086,DV-0146,VUHF,31325,25.0,10865.4,90.02,-43.02,64.0,true,EXCELLENT,false
LK-0148,ND-0025,ND-0045,DV-0025,DV-0045,HF,3195,3.0,11069.4,82.09,-49.09,40.14,true,EXCELLENT,false
LK-0149,ND-0026,ND-0054,DV-0026,DV-0054,HF,3195,3.0,11116.6,82.15,-39.15,50.07,true,EXCELLENT,false
LK-0150,ND-0033,ND-0053,DV-0033,DV-0053,HF,3195,3.0,12290.5,83.73,-50.73,38.5,true,EXCELLENT,false
LK-0151,ND-0149,ND-0153,DV-0149,DV-0153,VUHF,30125,25.0,12298.6,97.89,-60.89,46.13,true,EXCELLENT,false
LK-0152,ND-0018,ND-0127,DV-0018,DV-0127,VUHF,31325,25.0,12334.7,93.18,-59.18,47.84,true,EXCELLENT,false
LK-0153,ND-0009,ND-0021,DV-0009,DV-0021,VUHF,31325,25.0,13478.1,96.74,-41.74,65.28,true,EXCELLENT,false
LK-0154,ND-0020,ND-0021,DV-0020,DV-0021,VUHF,31325,25.0,13535.2,109.16,-54.16,52.86,true,EXCELLENT,false
LK-0155,ND-0072,ND-0108,DV-0072,DV-0108,VUHF,31325,25.0,14029.9,98.77,-63.77,43.25,true,EXCELLENT,false
LK-0156,ND-0025,ND-0041,DV-0025,DV-0041,HF,3195,3.0,14181.0,86.01,-47.01,42.22,true,EXCELLENT,false
LK-0157,ND-0110,ND-0118,DV-0110,DV-0118,VUHF,30125,25.0,14248.0,92.03,-49.03,57.99,true,EXCELLENT,false
LK-0158,ND-0095,ND-0103,DV-0095,DV-0103,VUHF,31325,25.0,14322.1,120.48,-85.48,21.54,true,EXCELLENT,false
LK-0159,ND-0135,ND-0143,DV-0135,DV-0143,VUHF,31325,25.0,14341.4,96.57,-51.57,55.45,true,EXCELLENT,false
LK-0160,ND-0017,ND-0144,DV-0017,DV-0144,VUHF,31325,25.0,14725.4,96.54,-58.54,48.48,true,EXCELLENT,false
LK-0161,ND-0019,ND-0083,DV-0019,DV-0083,VUHF,31325,25.0,14783.5,105.21,-60.21,46.81,true,EXCELLENT,false
LK-0162,ND-0045,ND-0053,DV-0045,DV-0053,HF,3195,3.0,14897.6,86.81,-53.81,35.42,true,EXCELLENT,false
LK-0163,ND-0072,ND-0112,DV-0072,DV-0112,VUHF,31325,25.0,14942.4,100.53,-63.53,43.49,true,EXCELLENT,false
LK-0164,ND-0010,ND-0011,DV-0010,DV-0011,VUHF,31325,25.0,15767.4,101.26,-54.26,52.76,true,EXCELLENT,false
LK-0165,ND-0098,ND-0146,DV-0098,DV-0146,VUHF,31325,25.0,15959.0,86.98,-51.98,55.04,true,EXCELLENT,false
LK-0166,ND-0002,ND-0059,DV-0002,DV-0059,HF,3195,3.0,16114.5,91.88,-37.88,51.34,true,EXCELLENT,false
LK-0167,ND-0019,ND-0107,DV-0019,DV-0107,VUHF,31325,25.0,16493.3,95.63,-60.63,46.39,true,EXCELLENT,false
LK-0168,ND-0013,ND-0095,DV-0013,DV-0095,VUHF,31325,25.0,17363.7,123.02,-88.02,19.0,true,GOOD,false
LK-0169,ND-0015,ND-0103,DV-0015,DV-0103,VUHF,31325,25.0,17450.0,92.26,-41.26,65.76,true,EXCELLENT,false
LK-0170,ND-0025,ND-0061,DV-0025,DV-0061,HF,3195,3.0,17466.4,89.44,-60.44,28.79,true,EXCELLENT,false
LK-0171,ND-0110,ND-0130,DV-0110,DV-0130,VUHF,30125,25.0,17522.2,93.69,-46.69,60.33,true,EXCELLENT,false
LK-0172,ND-0012,ND-0103,DV-0012,DV-0103,VUHF,31325,25.0,17643.4,120.71,-73.71,33.31,true,EXCELLENT,false
LK-0173,ND-0009,ND-0019,DV-0009,DV-0019,VUHF,31325,25.0,18134.2,88.37,-33.37,73.65,true,EXCELLENT,false
LK-0174,ND-0117,ND-0129,DV-0117,DV-0129,VUHF,31325,25.0,18467.4,94.86,-53.86,53.16,true,EXCELLENT,false
LK-0175,ND-0015,ND-0019,DV-0015,DV-0019,VUHF,31325,25.0,18886.7,88.72,-33.72,73.3,true,EXCELLENT,false
LK-0176,ND-0115,ND-0144,DV-0115,DV-0144,VUHF,31325,25.0,18948.8,88.47,-49.47,57.55,true,EXCELLENT,false
LK-0177,ND-0110,ND-0114,DV-0110,DV-0114,VUHF,30125,25.0,18986.9,94.51,-55.51,51.51,true,EXCELLENT,false
LK-0178,ND-0029,ND-0065,DV-0029,DV-0065,HF,3195,3.0,20716.0,92.35,-55.35,33.88,true,EXCELLENT,false
LK-0179,ND-0020,ND-0119,DV-0020,DV-0119,VUHF,31325,25.0,22652.8,115.27,-70.27,36.75,true,EXCELLENT,false
LK-0180,ND-0011,ND-0132,DV-0011,DV-0132,VUHF,31325,25.0,23341.7,90.56,-43.56,63.46,true,EXCELLENT,false
LK-0181,ND-0083,ND-0151,DV-0083,DV-0151,VUHF,31325,25.0,23944.1,105.98,-68.98,38.04,true,EXCELLENT,false
LK-0182,ND-0123,ND-0151,DV-0123,DV-0151,VUHF,31325,25.0,25571.0,95.3,-57.3,49.73,true,EXCELLENT,false
LK-0183,ND-0017,ND-0080,DV-0017,DV-0080,VUHF,31325,25.0,25808.9,91.44,-43.44,63.58,true,EXCELLENT,false
LK-0184,ND-0108,ND-0115,DV-0108,DV-0115,VUHF,31325,25.0,26886.3,110.45,-71.45,35.57,true,EXCELLENT,false
LK-0185,ND-0054,ND-0058,DV-0054,DV-0058,HF,3195,3.0,26960.8,97.01,-45.21,44.01,true,EXCELLENT,false
LK-0186,ND-0016,ND-0083,DV-0016,DV-0083,VUHF,31325,25.0,27439.0,114.98,-73.98,33.04,true,EXCELLENT,false
LK-0187,ND-0140,ND-0151,DV-0140,DV-0151,VUHF,31325,25.0,27840.0,103.21,-72.21,34.81,true,EXCELLENT,false
LK-0188,ND-0092,ND-0144,DV-0092,DV-0144,VUHF,31325,25.0,28908.3,103.12,-65.12,41.9,true,EXCELLENT,false
LK-0189,ND-0014,ND-0143,DV-0014,DV-0143,VUHF,31325,25.0,30601.8,121.58,-66.58,40.44,true,EXCELLENT,false
LK-0190,ND-0068,ND-0115,DV-0068,DV-0115,VUHF,31325,25.0,33753.3,105.24,-66.24,40.78,true,EXCELLENT,false
LK-0191,ND-0016,ND-0139,DV-0016,DV-0139,VUHF,31325,25.0,33991.4,112.37,-71.37,35.65,true,EXCELLENT,false
LK-0192,ND-0006,ND-0035,DV-0006,DV-0035,HF,3195,3.0,34968.6,106.88,-55.88,33.35,true,EXCELLENT,false
LK-0193,ND-0028,ND-0035,DV-0028,DV-0035,HF,3195,3.0,35116.7,101.94,-50.94,38.29,true,EXCELLENT,false
