device_id,node_id,model_id,antenna_id,antenna_height_m,tilt_deg,azimuth_deg,tx_power_dbm,work_freq_khz,status,install_time
DV-0086,ND-0011,DM-0011,AM-0011,7.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0087,ND-0011,DM-0011,AM-0011,7.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0088,ND-0012,DM-0003,AM-0002,6.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0089,ND-0012,DM-0011,AM-0011,5.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0090,ND-0012,DM-0011,AM-0011,4.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0091,ND-0013,DM-0003,AM-0002,7.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0092,ND-0013,DM-0011,AM-0011,7.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0093,ND-0013,DM-0011,AM-0011,4.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0094,ND-0013,DM-0011,AM-0011,3.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0095,ND-0013,DM-0011,AM-0011,4.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0096,ND-0013,DM-0011,AM-0011,7.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0097,ND-0014,DM-0003,AM-0001,5.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0098,ND-0014,DM-0011,AM-0011,3.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0099,ND-0014,DM-0011,AM-0011,5.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0100,ND-0014,DM-0011,AM-0011,4.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0101,ND-0014,DM-0011,AM-0011,6.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0102,ND-0014,DM-0011,AM-0011,7.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0103,ND-0015,DM-0003,AM-0002,6.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0104,ND-0015,DM-0011,AM-0011,5.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0105,ND-0015,DM-0011,AM-0011,7.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0106,ND-0016,DM-0003,AM-0002,6.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0107,ND-0016,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0108,ND-0016,DM-0011,AM-0011,6.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0109,ND-0017,DM-0003,AM-0001,5.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0110,ND-0017,DM-0011,AM-0011,4.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0111,ND-0017,DM-0011,AM-0011,4.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0112,ND-0017,DM-0011,AM-0011,6.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0113,ND-0017,DM-0011,AM-0011,7.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0114,ND-0017,DM-0011,AM-0011,7.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0115,ND-0018,DM-0003,AM-0002,5.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0116,ND-0018,DM-0011,AM-0011,6.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0117,ND-0018,DM-0011,AM-0011,3.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0118,ND-0018,DM-0011,AM-0011,4.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0119,ND-0018,DM-0011,AM-0011,7.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0120,ND-0018,DM-0011,AM-0011,4.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0121,ND-0019,DM-0003,AM-0001,3.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0122,ND-0019,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0123,ND-0019,DM-0011,AM-0011,7.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0124,ND-0020,DM-0003,AM-0002,7.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0125,ND-0020,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0126,ND-0020,DM-0011,AM-0011,7.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0127,ND-0021,DM-0003,AM-0002,6.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0128,ND-0021,DM-0011,AM-0011,7.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0129,ND-0021,DM-0011,AM-0011,6.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0130,ND-0021,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0131,ND-0021,DM-0011,AM-0011,7.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0132,ND-0021,DM-0011,AM-0011,3.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0133,ND-0022,DM-0003,AM-0001,4.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0134,ND-0022,DM-0011,AM-0011,4.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0135,ND-0022,DM-0011,AM-0011,4.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0136,ND-0022,DM-0011,AM-0011,5.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0137,ND-0022,DM-0011,AM-0011,4.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0138,ND-0022,DM-0011,AM-0011,6.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0139,ND-0023,DM-0003,AM-0001,6.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0140,ND-0023,DM-0011,AM-0011,5.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0141,ND-0023,DM-0011,AM-0011,6.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0142,ND-0023,DM-0011,AM-0011,4.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0143,ND-0023,DM-0011,AM-0011,7.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0144,ND-0024,DM-0003,AM-0001,6.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0145,ND-0024,DM-0011,AM-0011,4.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0146,ND-0024,DM-0011,AM-0011,6.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0147,ND-0024,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0148,ND-0024,DM-0011,AM-0011,7.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0149,ND-0025,DM-0003,AM-0002,4.4,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0150,ND-0025,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0151,ND-0025,DM-0011,AM-0011,4.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0152,ND-0025,DM-0011,AM-0011,4.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0153,ND-0025,DM-0011,AM-0011,4.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0154,ND-0026,DM-0003,AM-0002,5.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0155,ND-0026,DM-0011,AM-0011,3.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0156,ND-0026,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0157,ND-0026,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0158,ND-0026,DM-0011,AM-0011,7.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0159,ND-0027,DM-0003,AM-0001,5.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0160,ND-0027,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0161,ND-0027,DM-0011,AM-0011,4.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0162,ND-0027,DM-0011,AM-0011,4.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0163,ND-0027,DM-0011,AM-0011,7.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0164,ND-0028,DM-0003,AM-0001,5.3,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0165,ND-0028,DM-0011,AM-0011,6.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0166,ND-0028,DM-0011,AM-0011,4.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0167,ND-0028,DM-0011,AM-0011,8.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0168,ND-0028,DM-0011,AM-0011,4.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0169,ND-0029,DM-0003,AM-0001,7.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0170,ND-0029,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0171,ND-0029,DM-0011,AM-0011,4.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0172,ND-0029,DM-0011,AM-0011,6.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0173,ND-0029,DM-0011,AM-0011,7.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0174,ND-0030,DM-0003,AM-0002,7.9,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0175,ND-0030,DM-0011,AM-0011,7.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0176,ND-0030,DM-0011,AM-0011,5.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0177,ND-0030,DM-0011,AM-0011,6.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0178,ND-0030,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0179,ND-0031,DM-0003,AM-0001,6.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0180,ND-0031,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0181,ND-0031,DM-0011,AM-0011,6.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0182,ND-0031,DM-0011,AM-0011,5.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0183,ND-0031,DM-0011,AM-0011,5.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0184,ND-0032,DM-0003,AM-0002,4.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0185,ND-0032,DM-0011,AM-0011,5.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0186,ND-0032,DM-0011,AM-0011,6.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0187,ND-0032,DM-0011,AM-0011,6.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0188,ND-0032,DM-0011,AM-0011,4.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0189,ND-0033,DM-0003,AM-0001,6.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0190,ND-0033,DM-0011,AM-0011,5.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0191,ND-0033,DM-0011,AM-0011,4.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0192,ND-0033,DM-0011,AM-0011,7.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0193,ND-0033,DM-0011,AM-0011,4.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0194,ND-0034,DM-0003,AM-0001,6.5,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0195,ND-0034,DM-0011,AM-0011,6.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0196,ND-0034,DM-0011,AM-0011,6.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0197,ND-0034,DM-0011,AM-0011,5.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0198,ND-0034,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0199,ND-0035,DM-0003,AM-0002,6.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0200,ND-0035,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0201,ND-0035,DM-0011,AM-0011,7.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0202,ND-0035,DM-0011,AM-0011,5.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0203,ND-0035,DM-0011,AM-0011,5.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0204,ND-0036,DM-0003,AM-0001,6.1,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0205,ND-0036,DM-0011,AM-0011,4.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0206,ND-0036,DM-0011,AM-0011,7.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0207,ND-0036,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0208,ND-0036,DM-0011,AM-0011,6.2,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0209,ND-0037,DM-0003,AM-0002,4.7,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0210,ND-0037,DM-0011,AM-0011,7.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0211,ND-0037,DM-0011,AM-0011,7.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0212,ND-0037,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0213,ND-0037,DM-0011,AM-0011,4.9,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0214,ND-0038,DM-0003,AM-0002,7.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0215,ND-0038,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0216,ND-0038,DM-0011,AM-0011,5.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0217,ND-0038,DM-0011,AM-0011,7.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0218,ND-0038,DM-0011,AM-0011,5.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0219,ND-0039,DM-0003,AM-0002,3.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0220,ND-0039,DM-0011,AM-0011,4.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0221,ND-0039,DM-0011,AM-0011,5.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0222,ND-0039,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0223,ND-0039,DM-0011,AM-0011,6.3,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0224,ND-0040,DM-0003,AM-0001,5.6,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0225,ND-0040,DM-0011,AM-0011,7.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0226,ND-0040,DM-0011,AM-0011,4.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0227,ND-0040,DM-0011,AM-0011,4.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0228,ND-0040,DM-0011,AM-0011,6.8,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0229,ND-0041,DM-0003,AM-0001,6.2,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0230,ND-0041,DM-0011,AM-0011,5.0,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0231,ND-0041,DM-0011,AM-0011,4.1,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0232,ND-0041,DM-0011,AM-0011,4.4,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0233,ND-0041,DM-0011,AM-0011,4.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0234,ND-0042,DM-0003,AM-0002,6.0,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0235,ND-0042,DM-0011,AM-0011,5.5,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0236,ND-0042,DM-0011,AM-0011,7.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0237,ND-0042,DM-0011,AM-0011,7.7,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0238,ND-0042,DM-0011,AM-0011,7.6,,,43.0,,NORMAL,2026-09-08T08:00:00+08:00
DV-0239,ND-0043,DM-0003,AM-0001,6.8,,,56.0,,NORMAL,2026-09-08T08:00:00+08:00
