site_id,lon,lat,elevation_m,slope_deg,landcover_type,nearest_road_distance_m,nearest_node_distance_m,candidate_role,is_deployable,recommendation_level,score,reject_reason,source,remark
CS-0025,114.261492,37.045747,305.0,1.86,耕地,0.0,14120.5,RELAY,true,A,72.69,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0026,114.53872,37.270324,71.0,0.45,耕地,0.0,20067.1,MOBILE_STATION,true,A,72.69,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0027,114.402935,37.023289,89.0,1.31,草地,0.0,21323.0,MOBILE_STATION,true,A,72.65,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0028,114.572666,37.234392,60.0,0.0,耕地,0.0,22124.5,MOBILE_STATION,true,A,72.58,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0029,114.221889,37.836261,668.0,2.93,草地,250.0,9955.0,RELAY,true,A,72.45,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0030,114.312412,37.894651,570.0,8.9,林地,0.0,15632.2,RELAY,true,A,72.42,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0031,114.533062,37.243375,75.0,0.32,耕地,0.0,19339.4,MOBILE_STATION,true,A,72.33,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0032,114.606612,37.25685,55.0,0.0,耕地,0.0,23959.1,MOBILE_STATION,true,A,72.3,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0033,114.810289,37.984482,53.0,0.0,耕地,0.0,23868.3,MOBILE_STATION,true,A,72.19,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0034,114.578323,37.274816,65.0,0.71,耕地,0.0,21475.0,MOBILE_STATION,true,A,72.11,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0035,114.380304,37.099645,132.0,0.45,耕地,0.0,16975.7,MOBILE_STATION,true,A,72.1,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0036,114.849893,37.957533,50.0,0.0,耕地,0.0,24991.2,MOBILE_STATION,true,A,72.01,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0037,114.216231,37.041255,652.0,3.62,耕地,250.0,10454.6,RELAY,true,A,71.99,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0038,115.019624,37.962024,48.0,0.0,耕地,0.0,38782.1,MOBILE_STATION,true,A,71.89,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0039,114.753712,37.988973,53.0,0.32,耕地,0.0,20725.6,MOBILE_STATION,true,A,71.86,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0040,114.312412,37.930583,162.0,1.35,耕地,0.0,16622.8,MOBILE_STATION,true,A,71.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0041,114.855551,37.917109,47.0,0.0,草地,0.0,23551.9,MOBILE_STATION,true,A,71.83,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0042,114.419908,37.975499,75.0,0.71,耕地,0.0,19254.6,MOBILE_STATION,true,A,71.83,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0043,114.895154,37.984482,52.0,0.32,耕地,0.0,29930.3,MOBILE_STATION,true,A,71.8,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0044,114.533062,37.19846,69.0,1.01,耕地,0.0,19774.1,MOBILE_STATION,true,A,71.77,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0045,114.838577,37.876685,45.0,0.0,耕地,0.0,20967.7,MOBILE_STATION,true,A,71.7,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0046,114.782,37.962024,52.0,0.45,耕地,0.0,20364.1,MOBILE_STATION,true,A,71.66,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0047,114.929101,37.885668,44.0,0.0,耕地,0.0,28337.1,MOBILE_STATION,true,A,71.64,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0048,115.025281,37.908125,44.0,0.0,耕地,0.0,36629.6,MOBILE_STATION,true,A,71.64,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0049,114.883839,37.944058,44.0,0.0,耕地,0.0,26971.1,MOBILE_STATION,true,A,71.64,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0050,115.110147,37.988973,44.0,0.0,耕地,0.0,47261.8,MOBILE_STATION,true,A,71.64,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0051,114.651873,37.31524,49.0,0.32,耕地,0.0,21439.5,MOBILE_STATION,true,A,71.62,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0052,114.946074,37.917109,49.0,0.32,林地,0.0,31143.8,MOBILE_STATION,true,A,71.62,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0053,114.946074,37.975499,49.0,0.32,耕地,0.0,33390.3,MOBILE_STATION,true,A,71.62,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0054,115.05357,37.988973,49.0,0.32,耕地,0.0,42623.5,MOBILE_STATION,true,A,71.62,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0055,114.640558,37.225409,43.0,0.0,耕地,0.0,20258.9,MOBILE_STATION,true,A,71.57,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0056,114.946074,37.80482,43.0,0.0,林地,0.0,25140.0,MOBILE_STATION,true,A,71.57,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0057,115.138435,37.908125,43.0,0.0,耕地,0.0,45237.7,MOBILE_STATION,true,A,71.57,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0058,115.059228,37.926092,43.0,0.0,耕地,0.0,40215.4,MOBILE_STATION,true,A,71.57,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0059,114.691477,37.360156,48.0,0.32,耕地,0.0,21247.4,MOBILE_STATION,true,A,71.56,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0060,114.810289,37.9216,48.0,0.32,耕地,0.0,20064.9,MOBILE_STATION,true,A,71.56,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0061,114.985678,37.86321,47.0,0.32,林地,0.0,31052.0,MOBILE_STATION,true,A,71.5,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0062,114.272808,37.108628,187.0,0.45,耕地,0.0,14602.2,MOBILE_STATION,true,A,71.44,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0063,115.042254,37.840752,41.0,0.0,耕地,0.0,34460.6,MOBILE_STATION,true,A,71.44,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0064,115.070543,37.867701,41.0,0.0,耕地,0.0,37922.8,MOBILE_STATION,true,A,71.44,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0065,114.41425,37.11312,103.0,0.0,耕地,0.0,16932.1,MOBILE_STATION,true,A,71.38,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0066,114.940416,37.759904,40.0,0.0,耕地,0.0,23365.6,MOBILE_STATION,true,A,71.38,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0067,114.917785,37.782362,40.0,0.0,林地,0.0,21986.8,MOBILE_STATION,true,A,71.38,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0068,115.178039,37.899142,40.0,0.0,草地,0.0,47962.9,MOBILE_STATION,true,A,71.38,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0069,114.923443,37.849735,45.0,0.32,耕地,0.0,25595.9,MOBILE_STATION,true,A,71.37,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0070,114.991335,37.9216,45.0,0.32,耕地,0.0,35097.2,MOBILE_STATION,true,A,71.37,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0071,114.216231,37.971007,284.0,0.32,耕地,0.0,11815.8,MOBILE_STATION,true,A,71.33,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0072,115.030939,37.782362,39.0,0.0,林地,0.0,31643.6,MOBILE_STATION,true,A,71.31,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0073,115.132778,37.840752,39.0,0.0,耕地,0.0,41949.2,MOBILE_STATION,true,A,71.31,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0074,115.195012,37.926092,39.0,0.0,林地,0.0,50572.3,MOBILE_STATION,true,A,71.31,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0075,115.110147,37.948549,44.0,0.32,耕地,0.0,45318.6,MOBILE_STATION,true,A,71.31,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0076,114.889497,37.872193,46.0,0.45,林地,0.0,24711.9,MOBILE_STATION,true,A,71.3,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0077,114.329385,37.11312,218.0,1.42,耕地,0.0,14506.8,MOBILE_STATION,true,A,71.25,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0078,114.702793,37.490411,38.0,0.0,耕地,0.0,20116.1,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0079,115.12712,37.809311,38.0,0.0,耕地,0.0,40540.1,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0080,114.98002,37.813803,43.0,0.32,耕地,0.0,28283.4,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0081,114.878181,37.831769,43.0,0.32,耕地,0.0,21176.4,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0082,115.110147,37.881176,38.0,0.0,耕地,0.0,41707.4,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0083,115.155408,37.957533,43.0,0.32,耕地,0.0,49207.8,MOBILE_STATION,true,A,71.24,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0084,115.076201,37.962024,45.0,0.45,耕地,0.0,43492.0,MOBILE_STATION,true,A,71.23,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0085,114.923443,37.944058,49.0,0.71,耕地,0.0,30179.0,MOBILE_STATION,true,A,71.21,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0086,114.657531,37.25685,42.0,0.32,耕地,0.0,23795.3,MOBILE_STATION,true,A,71.18,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0087,115.098831,37.908125,42.0,0.32,耕地,0.0,42158.3,MOBILE_STATION,true,A,71.18,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0088,114.736739,37.454478,37.0,0.0,耕地,0.0,22648.8,MOBILE_STATION,true,A,71.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0089,115.206328,37.791345,37.0,0.0,耕地,0.0,46995.7,MOBILE_STATION,true,A,71.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0090,115.251589,37.836261,37.0,0.0,耕地,0.0,51869.4,MOBILE_STATION,true,A,71.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0091,115.217643,37.86321,37.0,0.0,耕地,0.0,49806.9,MOBILE_STATION,true,A,71.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0092,114.968704,37.894651,44.0,0.45,耕地,0.0,31700.9,MOBILE_STATION,true,A,71.17,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0093,114.985678,37.948549,48.0,0.71,林地,0.0,35479.5,MOBILE_STATION,true,A,71.15,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0094,114.719766,37.319732,41.0,0.32,耕地,0.0,25743.1,MOBILE_STATION,true,A,71.11,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0095,115.025281,37.809311,41.0,0.32,耕地,0.0,31895.1,MOBILE_STATION,true,A,71.11,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0096,114.617927,37.310748,53.0,0.9,耕地,0.0,19825.3,MOBILE_STATION,true,A,71.07,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0097,114.499116,37.167019,72.0,0.45,耕地,0.0,18400.0,MOBILE_STATION,true,A,71.05,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0098,114.697135,37.270324,40.0,0.32,林地,0.0,25723.9,MOBILE_STATION,true,A,71.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0099,114.70845,37.387105,45.0,0.64,耕地,0.0,21392.1,MOBILE_STATION,true,A,71.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0100,114.714108,37.423037,40.0,0.32,耕地,0.0,20894.0,MOBILE_STATION,true,A,71.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0101,114.98002,37.710497,40.0,0.32,耕地,0.0,26592.4,MOBILE_STATION,true,A,71.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0102,114.996993,37.77787,40.0,0.32,耕地,0.0,28620.7,MOBILE_STATION,true,A,71.04,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0103,115.228958,37.279308,35.0,0.0,林地,0.0,23674.2,MOBILE_STATION,true,A,71.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0104,115.098831,37.697022,35.0,0.0,耕地,0.0,37129.0,MOBILE_STATION,true,A,71.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0105,115.042254,37.714989,35.0,0.0,耕地,0.0,32034.6,MOBILE_STATION,true,A,71.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0106,115.172381,37.71948,35.0,0.0,耕地,0.0,43462.7,MOBILE_STATION,true,A,71.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0107,115.387374,37.971007,35.0,0.0,耕地,0.0,67985.3,MOBILE_STATION,true,A,71.03,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0108,115.093174,37.813803,39.0,0.32,耕地,0.0,37768.3,MOBILE_STATION,true,A,70.98,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0109,115.251589,37.917109,39.0,0.32,草地,0.0,54681.2,MOBILE_STATION,true,A,70.98,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0110,115.019624,37.867701,41.0,0.45,耕地,0.0,33908.0,MOBILE_STATION,true,A,70.97,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0111,114.787658,37.265833,34.0,0.0,耕地,0.0,22835.6,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0112,114.663189,37.342189,45.0,0.71,耕地,0.0,20225.3,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0113,115.019624,37.647615,34.0,0.0,林地,0.0,31258.4,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0114,115.285535,37.818294,34.0,0.0,耕地,0.0,54363.7,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0115,115.336455,37.86321,34.0,0.0,耕地,0.0,59826.7,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0116,115.27422,37.948549,34.0,0.0,耕地,0.0,57915.9,MOBILE_STATION,true,A,70.96,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0117,114.946074,37.714989,38.0,0.32,耕地,0.0,23582.5,MOBILE_STATION,true,A,70.91,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0118,115.081858,37.759904,38.0,0.32,林地,0.0,35692.5,MOBILE_STATION,true,A,70.91,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0119,115.262905,37.975499,38.0,0.32,耕地,0.0,58377.5,MOBILE_STATION,true,A,70.91,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0120,115.183697,37.984482,38.0,0.32,耕地,0.0,52902.3,MOBILE_STATION,true,A,70.91,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0121,114.844235,37.297274,33.0,0.0,耕地,0.0,23000.3,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0122,114.75937,37.494902,33.0,0.0,耕地,0.0,24877.8,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0123,114.742397,37.526343,33.0,0.0,耕地,0.0,21366.7,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0124,114.974362,37.66109,33.0,0.0,耕地,0.0,27016.2,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0125,115.132778,37.670073,33.0,0.0,耕地,0.0,40458.8,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0126,115.166724,37.674564,33.0,0.0,耕地,0.0,43343.8,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0127,115.245932,37.728463,33.0,0.0,耕地,0.0,49924.7,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0128,115.291193,37.899142,33.0,0.0,耕地,0.0,57201.6,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0129,115.342112,37.912617,33.0,0.0,耕地,0.0,61912.9,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0130,115.296851,37.97999,33.0,0.0,耕地,0.0,61242.5,MOBILE_STATION,true,A,70.88,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0131,114.75937,37.306257,37.0,0.32,耕地,0.0,27888.9,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0132,114.753712,37.346681,39.0,0.45,耕地,0.0,26826.0,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0133,114.996993,37.616174,37.0,0.32,林地,0.0,30569.4,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0134,114.940416,37.652107,37.0,0.32,耕地,0.0,24464.9,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0135,115.20067,37.764396,37.0,0.32,耕地,0.0,46135.6,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
CS-0136,114.985678,37.97999,48.0,1.01,耕地,0.0,36752.3,MOBILE_STATION,true,A,70.84,,DEM_SCAN,网格500m;坡度<=15;距路<=2000m;站间距>=3000m;高程20-1800m
