node_id,node_name,echelon,node_subtype,parent_node_id,node_role,mobility,lon,lat,elevation_m,region,device_class,relay_capable,status,is_key,remark
ND-0029,Ⅲ双频机动站07,III,III_MOBILE,ND-0017;ND-0018,TASK,VEHICLE,114.0765,37.748844,813.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0030,Ⅲ双频机动站08,III,III_MOBILE,ND-0021;ND-0022,TASK,VEHICLE,114.979732,36.941,36.0,东部平原区,HF;VUHF,true,NORMAL,false,
ND-0031,Ⅲ双频机动站09,III,III_MOBILE,ND-0009;ND-0010,TASK,VEHICLE,114.0765,37.552458,1089.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0032,Ⅲ双频机动站10,III,III_MOBILE,ND-0013;ND-0014,TASK,VEHICLE,114.0765,37.552236,1091.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0033,Ⅲ双频机动站11,III,III_MOBILE,ND-0017;ND-0018,TASK,VEHICLE,114.0765,37.622905,881.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0034,Ⅲ双频机动站12,III,III_MOBILE,ND-0021;ND-0022,TASK,VEHICLE,115.063173,36.941,37.0,东部平原区,HF;VUHF,true,NORMAL,false,
ND-0035,Ⅲ双频机动站13,III,III_MOBILE,ND-0007;ND-0008,TASK,VEHICLE,114.0765,37.568519,1229.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0036,Ⅲ双频机动站14,III,III_MOBILE,ND-0009;ND-0010,TASK,VEHICLE,114.0765,37.551462,1085.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0037,Ⅲ双频机动站15,III,III_MOBILE,ND-0011;ND-0012,TASK,VEHICLE,114.0765,37.366384,944.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0038,Ⅲ双频机动站16,III,III_MOBILE,ND-0013;ND-0014,TASK,VEHICLE,114.0765,37.324148,703.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0039,Ⅲ双频机动站17,III,III_MOBILE,ND-0015;ND-0016,TASK,VEHICLE,114.448269,37.803791,88.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0040,Ⅲ双频机动站18,III,III_MOBILE,ND-0017;ND-0018,TASK,VEHICLE,114.095583,37.746529,772.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0041,Ⅲ双频机动站19,III,III_MOBILE,ND-0019;ND-0020,TASK,VEHICLE,114.735982,36.941,40.0,山前过渡区,HF;VUHF,true,NORMAL,false,
ND-0042,Ⅲ双频机动站20,III,III_MOBILE,ND-0021;ND-0022,TASK,VEHICLE,114.77628,36.941,40.0,山前过渡区,HF;VUHF,true,NORMAL,false,
ND-0043,Ⅲ双频机动站21,III,III_MOBILE,ND-0007;ND-0008,TASK,VEHICLE,114.0765,37.578477,1320.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0044,Ⅲ双频机动站22,III,III_MOBILE,ND-0009;ND-0010,TASK,VEHICLE,114.0765,37.650651,1037.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0045,Ⅲ双频机动站23,III,III_MOBILE,ND-0011;ND-0012,TASK,VEHICLE,114.0765,37.593662,978.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0046,Ⅲ双频机动站24,III,III_MOBILE,ND-0013;ND-0014,TASK,VEHICLE,114.129704,37.173681,729.0,山前过渡区,HF;VUHF,true,NORMAL,false,
ND-0047,Ⅲ双频机动站25,III,III_MOBILE,ND-0015;ND-0016,TASK,VEHICLE,114.562959,37.6556,55.0,中部平原区,HF;VUHF,true,NORMAL,false,
ND-0048,Ⅲ双频机动站26,III,III_MOBILE,ND-0017;ND-0018,TASK,VEHICLE,114.0765,37.650688,1037.0,太行山区,HF;VUHF,true,NORMAL,false,
ND-0049,Ⅲ双频机动站27,III,III_MOBILE,ND-0019;ND-0020,TASK,VEHICLE,114.995993,36.941,37.0,东部平原区,HF;VUHF,true,NORMAL,false,
ND-0050,Ⅲ双频机动站28,III,III_MOBILE,ND-0021;ND-0022,TASK,VEHICLE,115.350289,36.941,38.0,东部平原区,HF;VUHF,true,NORMAL,false,
ND-0051,Ⅳ任务站点001,IV,IV_MOBILE,ND-0023,TASK,VEHICLE,114.0665,37.543693,1283.0,太行山区,VUHF,false,NORMAL,false,
ND-0052,Ⅳ任务站点002,IV,IV_MOBILE,ND-0024,TASK,VEHICLE,114.153123,37.478889,882.0,太行山区,VUHF,false,NORMAL,false,
ND-0053,Ⅳ任务站点003,IV,IV_MOBILE,ND-0025,TASK,VEHICLE,114.178399,37.662345,393.0,太行山区,VUHF,false,NORMAL,false,
ND-0054,Ⅳ任务站点004,IV,IV_MOBILE,ND-0026,TASK,VEHICLE,115.150533,37.075777,33.0,东部平原区,VUHF,false,NORMAL,true,
ND-0055,Ⅳ任务站点005,IV,IV_MOBILE,ND-0027,TASK,VEHICLE,114.191924,37.693989,402.0,太行山区,VUHF,false,NORMAL,false,
ND-0056,Ⅳ任务站点006,IV,IV_MOBILE,ND-0028,TASK,VEHICLE,114.130137,37.406907,1298.0,太行山区,VUHF,false,NORMAL,false,
ND-0057,Ⅳ任务站点007,IV,IV_MOBILE,ND-0029,TASK,VEHICLE,114.0665,37.780971,661.0,太行山区,VUHF,false,NORMAL,false,
ND-0058,Ⅳ任务站点008,IV,IV_MOBILE,ND-0030,TASK,VEHICLE,114.991864,37.014174,34.0,东部平原区,VUHF,false,NORMAL,false,
ND-0059,Ⅳ任务站点009,IV,IV_MOBILE,ND-0031,TASK,VEHICLE,114.0665,37.660946,1016.0,太行山区,VUHF,false,NORMAL,false,
ND-0060,Ⅳ任务站点010,IV,IV_MOBILE,ND-0032,TASK,VEHICLE,114.0665,37.641424,833.0,太行山区,VUHF,false,NORMAL,false,
ND-0061,Ⅳ任务站点011,IV,IV_MOBILE,ND-0033,TASK,VEHICLE,114.07947,37.753247,586.0,太行山区,VUHF,false,NORMAL,false,
ND-0062,Ⅳ任务站点012,IV,IV_MOBILE,ND-0034,TASK,VEHICLE,115.13765,36.931,35.0,东部平原区,VUHF,false,NORMAL,false,
ND-0063,Ⅳ任务站点013,IV,IV_MOBILE,ND-0035,TASK,VEHICLE,114.147162,37.604909,859.0,太行山区,VUHF,false,NORMAL,false,
ND-0064,Ⅳ任务站点014,IV,IV_MOBILE,ND-0036,TASK,VEHICLE,114.0665,37.632729,781.0,太行山区,VUHF,false,NORMAL,false,
ND-0065,Ⅳ任务站点015,IV,IV_MOBILE,ND-0037,TASK,VEHICLE,114.076726,37.336958,572.0,太行山区,VUHF,false,NORMAL,false,
ND-0066,Ⅳ任务站点016,IV,IV_MOBILE,ND-0038,TASK,VEHICLE,114.104216,37.267848,502.0,太行山区,VUHF,false,NORMAL,false,
ND-0067,Ⅳ任务站点017,IV,IV_MOBILE,ND-0039,TASK,VEHICLE,114.603044,37.845401,54.0,中部平原区,VUHF,false,NORMAL,true,
ND-0068,Ⅳ任务站点018,IV,IV_MOBILE,ND-0040,TASK,VEHICLE,114.10806,37.885204,529.0,太行山区,VUHF,false,NORMAL,false,
ND-0069,Ⅳ任务站点019,IV,IV_MOBILE,ND-0041,TASK,VEHICLE,114.873379,36.931,36.0,东部平原区,VUHF,false,NORMAL,false,
ND-0070,Ⅳ任务站点020,IV,IV_MOBILE,ND-0042,TASK,VEHICLE,114.655646,36.931,49.0,山前过渡区,VUHF,false,NORMAL,true,
ND-0071,Ⅳ任务站点021,IV,IV_MOBILE,ND-0043,TASK,VEHICLE,114.0665,37.757228,470.0,太行山区,VUHF,false,NORMAL,false,
ND-0072,Ⅳ任务站点022,IV,IV_MOBILE,ND-0044,TASK,VEHICLE,114.0665,37.696443,660.0,太行山区,VUHF,false,NORMAL,false,
ND-0073,Ⅳ任务站点023,IV,IV_MOBILE,ND-0045,TASK,VEHICLE,114.0665,37.513349,1246.0,太行山区,VUHF,false,NORMAL,false,
ND-0074,Ⅳ任务站点024,IV,IV_MOBILE,ND-0046,TASK,VEHICLE,114.204195,37.267898,393.0,山前过渡区,VUHF,false,NORMAL,false,
ND-0075,Ⅳ任务站点025,IV,IV_MOBILE,ND-0047,TASK,VEHICLE,114.424339,37.662994,192.0,太行山区,VUHF,false,NORMAL,false,
ND-0076,Ⅳ任务站点026,IV,IV_MOBILE,ND-0048,TASK,VEHICLE,114.115873,37.623071,860.0,太行山区,VUHF,false,NORMAL,false,
ND-0077,Ⅳ任务站点027,IV,IV_MOBILE,ND-0049,TASK,VEHICLE,115.212265,36.931,34.0,东部平原区,VUHF,false,NORMAL,false,
ND-0078,Ⅳ任务站点028,IV,IV_MOBILE,ND-0050,TASK,VEHICLE,115.3845,36.931,32.0,东部平原区,VUHF,false,NORMAL,false,
ND-0079,Ⅳ任务站点029,IV,IV_MOBILE,ND-0023,TASK,VEHICLE,114.099176,37.599902,1000.0,太行山区,VUHF,false,NORMAL,false,
ND-0080,Ⅳ任务站点030,IV,IV_MOBILE,ND-0024,TASK,VEHICLE,114.244777,37.723484,331.0,太行山区,VUHF,false,NORMAL,false,
ND-0081,Ⅳ任务站点031,IV,IV_MOBILE,ND-0025,TASK,VEHICLE,114.0665,37.730044,495.0,太行山区,VUHF,false,NORMAL,true,
ND-0082,Ⅳ任务站点032,IV,IV_MOBILE,ND-0026,TASK,VEHICLE,115.183039,36.931,35.0,东部平原区,VUHF,false,NORMAL,false,
ND-0083,Ⅳ任务站点033,IV,IV_MOBILE,ND-0027,TASK,VEHICLE,114.106462,37.493066,887.0,太行山区,VUHF,false,NORMAL,false,
ND-0084,Ⅳ任务站点034,IV,IV_MOBILE,ND-0028,TASK,VEHICLE,114.116069,37.305067,572.0,太行山区,VUHF,false,NORMAL,false,
ND-0085,Ⅳ任务站点035,IV,IV_MOBILE,ND-0029,TASK,VEHICLE,114.0665,37.603029,728.0,太行山区,VUHF,false,NORMAL,false,
ND-0086,Ⅳ任务站点036,IV,IV_MOBILE,ND-0030,TASK,VEHICLE,114.95684,37.110883,31.0,东部平原区,VUHF,false,NORMAL,true,
ND-0087,Ⅳ任务站点037,IV,IV_MOBILE,ND-0031,TASK,VEHICLE,114.086064,37.433143,1339.0,太行山区,VUHF,false,NORMAL,false,
ND-0088,Ⅳ任务站点038,IV,IV_MOBILE,ND-0032,TASK,VEHICLE,114.0665,37.468923,967.0,太行山区,VUHF,false,NORMAL,false,
ND-0089,Ⅳ任务站点039,IV,IV_MOBILE,ND-0033,TASK,VEHICLE,114.192189,37.620786,346.0,太行山区,VUHF,false,NORMAL,false,
ND-0090,Ⅳ任务站点040,IV,IV_MOBILE,ND-0034,TASK,VEHICLE,115.22227,36.998621,36.0,东部平原区,VUHF,false,NORMAL,false,
ND-0091,Ⅳ任务站点041,IV,IV_MOBILE,ND-0035,TASK,VEHICLE,114.0665,37.568437,1145.0,太行山区,VUHF,false,NORMAL,false,
ND-0092,Ⅳ任务站点042,IV,IV_MOBILE,ND-0036,TASK,VEHICLE,114.0665,37.384392,885.0,太行山区,VUHF,false,NORMAL,false,
ND-0093,Ⅳ任务站点043,IV,IV_MOBILE,ND-0037,TASK,VEHICLE,114.142553,37.288214,453.0,太行山区,VUHF,false,NORMAL,false,
ND-0094,Ⅳ任务站点044,IV,IV_MOBILE,ND-0038,TASK,VEHICLE,114.0665,37.304009,601.0,太行山区,VUHF,false,NORMAL,false,
ND-0095,Ⅳ任务站点045,IV,IV_MOBILE,ND-0039,TASK,VEHICLE,114.33911,37.663524,149.0,太行山区,VUHF,false,NORMAL,false,
ND-0096,Ⅳ任务站点046,IV,IV_MOBILE,ND-0040,TASK,VEHICLE,114.082256,37.701717,778.0,太行山区,VUHF,false,NORMAL,false,
ND-0097,Ⅳ任务站点047,IV,IV_MOBILE,ND-0041,TASK,VEHICLE,114.679303,36.933246,46.0,山前过渡区,VUHF,false,NORMAL,false,
ND-0098,Ⅳ任务站点048,IV,IV_MOBILE,ND-0042,TASK,VEHICLE,114.641851,37.043219,46.0,山前过渡区,VUHF,false,NORMAL,true,
ND-0099,Ⅳ任务站点049,IV,IV_MOBILE,ND-0043,TASK,VEHICLE,114.0665,37.492171,934.0,太行山区,VUHF,false,NORMAL,false,
ND-0100,Ⅳ任务站点050,IV,IV_MOBILE,ND-0044,TASK,VEHICLE,114.0665,37.583502,1162.0,太行山区,VUHF,false,NORMAL,false,
ND-0101,Ⅳ任务站点051,IV,IV_MOBILE,ND-0045,TASK,VEHICLE,114.0665,37.606762,866.0,太行山区,VUHF,false,NORMAL,false,
ND-0102,Ⅳ任务站点052,IV,IV_MOBILE,ND-0046,TASK,VEHICLE,114.107239,37.076959,301.0,山前过渡区,VUHF,false,NORMAL,false,
ND-0103,Ⅳ任务站点053,IV,IV_MOBILE,ND-0047,TASK,VEHICLE,114.494774,37.626438,75.0,太行山区,VUHF,false,NORMAL,false,
ND-0104,Ⅳ任务站点054,IV,IV_MOBILE,ND-0048,TASK,VEHICLE,114.0665,37.622887,1000.0,太行山区,VUHF,false,NORMAL,true,
ND-0105,Ⅳ任务站点055,IV,IV_MOBILE,ND-0049,TASK,VEHICLE,114.970011,36.931,37.0,东部平原区,VUHF,false,NORMAL,false,
ND-0106,Ⅳ任务站点056,IV,IV_MOBILE,ND-0050,TASK,VEHICLE,115.249425,37.04911,37.0,东部平原区,VUHF,false,NORMAL,false,
ND-0107,a机动车01,I,VEHICLE_A,ND-0002,TASK,VEHICLE,114.089498,37.467443,751.0,太行山区,HF,true,NORMAL,false,
ND-0108,a机动车02,I,VEHICLE_A,ND-0002,TASK,VEHICLE,114.128441,37.66377,1153.0,太行山区,HF,true,NORMAL,false,
ND-0109,b机动车01,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,36.941,863.0,山前过渡区,HF,true,NORMAL,false,
ND-0110,b机动车02,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.097499,37.407557,889.0,太行山区,HF,true,NORMAL,false,
ND-0111,b机动车03,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.353734,840.0,太行山区,HF,true,NORMAL,false,
ND-0112,b机动车04,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.550356,1094.0,太行山区,HF,true,NORMAL,false,
ND-0113,b机动车05,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.420637,936.0,太行山区,HF,true,NORMAL,false,
ND-0114,b机动车06,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.353745,840.0,太行山区,HF,true,NORMAL,false,
ND-0115,b机动车07,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.540623,1321.0,太行山区,HF,true,NORMAL,false,
ND-0116,b机动车08,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.421123,939.0,太行山区,HF,true,NORMAL,false,
ND-0117,b机动车09,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.559371,1010.0,太行山区,HF,true,NORMAL,false,
ND-0118,b机动车10,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.577833,1334.0,太行山区,HF,true,NORMAL,false,
ND-0119,b机动车11,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.0765,37.379284,1094.0,太行山区,HF,true,NORMAL,false,
ND-0120,b机动车12,I,VEHICLE_B,ND-0002,TASK,VEHICLE,114.113372,37.419266,1167.0,太行山区,HF,true,NORMAL,false,
ND-0121,背负式短波电台01,I,MANPACK,ND-0107;ND-0108,TASK,MANPACK,114.09146,37.402337,995.0,太行山区,HF,false,NORMAL,false,
ND-0122,背负式短波电台02,I,MANPACK,ND-0109;ND-0110,TASK,MANPACK,114.085642,36.941,813.0,山前过渡区,HF,false,NORMAL,false,
ND-0123,背负式短波电台03,I,MANPACK,ND-0111;ND-0112,TASK,MANPACK,114.0765,37.354194,848.0,太行山区,HF,false,NORMAL,false,
ND-0124,背负式短波电台04,I,MANPACK,ND-0113;ND-0114,TASK,MANPACK,114.099382,37.431466,1014.0,太行山区,HF,false,NORMAL,false,
ND-0125,背负式短波电台05,I,MANPACK,ND-0115;ND-0116,TASK,MANPACK,114.0765,37.550265,1094.0,太行山区,HF,false,NORMAL,false,
ND-0126,背负式短波电台06,I,MANPACK,ND-0117;ND-0118,TASK,MANPACK,114.0765,37.592857,993.0,太行山区,HF,false,NORMAL,false,
ND-0127,背负式短波电台07,I,MANPACK,ND-0119;ND-0120,TASK,MANPACK,114.0765,37.5411,1311.0,太行山区,HF,false,NORMAL,false,
ND-0128,背负式短波电台08,I,MANPACK,ND-0107;ND-0108,TASK,MANPACK,114.0765,37.546817,1088.0,太行山区,HF,false,NORMAL,false,
ND-0129,背负式短波电台09,I,MANPACK,ND-0109;ND-0110,TASK,MANPACK,114.0765,36.94897,931.0,山前过渡区,HF,false,NORMAL,false,
ND-0130,背负式短波电台10,I,MANPACK,ND-0111;ND-0112,TASK,MANPACK,114.0765,37.358657,999.0,太行山区,HF,false,NORMAL,false,
ND-0131,背负式短波电台11,I,MANPACK,ND-0113;ND-0114,TASK,MANPACK,114.116697,37.418208,1217.0,太行山区,HF,false,NORMAL,false,
ND-0132,背负式短波电台12,I,MANPACK,ND-0115;ND-0116,TASK,MANPACK,114.0765,37.5512,1086.0,太行山区,HF,false,NORMAL,false,
