demand_id,task_id,src_node_id,dst_node_id,priority,is_mandatory,data_volume_mb,required_rate_kbps,max_delay_ms,min_reliability,service_type,preferred_class
CD-0029,TS-0001,ND-0130,ND-0019,P2,false,29.5,4.8,150,0.95,话音,HF
CD-0030,TS-0001,ND-0036,ND-0035,P2,false,196.4,4.8,400,0.9,话音,VUHF
CD-0031,TS-0001,ND-0064,ND-0092,P3,false,165.3,1.2,400,0.995,短消息,VUHF
CD-0032,TS-0001,ND-0031,ND-0124,P2,true,82.1,4.8,800,0.995,话音,HF
CD-0033,TS-0001,ND-0025,ND-0088,P2,false,107.3,4.8,250,0.995,话音,VUHF
CD-0034,TS-0001,ND-0023,ND-0004,P2,false,129.1,4.8,250,0.95,话音,VUHF
CD-0035,TS-0001,ND-0043,ND-0113,P3,false,36.4,4.8,400,0.9,话音,HF
CD-0036,TS-0001,ND-0116,ND-0028,P2,false,209.6,1.2,400,0.995,短消息,HF
CD-0037,TS-0001,ND-0023,ND-0043,P3,false,159.5,4.8,250,0.95,话音,VUHF
CD-0038,TS-0001,ND-0131,ND-0044,P2,false,95.2,1.2,250,0.99,短消息,HF
CD-0039,TS-0001,ND-0094,ND-0062,P3,false,54.9,1.2,400,0.9,短消息,VUHF
CD-0040,TS-0001,ND-0029,ND-0053,P3,false,44.4,1.2,400,0.95,短消息,VUHF
CD-0041,TS-0001,ND-0037,ND-0062,P2,true,152.6,4.8,400,0.99,话音,VUHF
CD-0042,TS-0001,ND-0038,ND-0011,P3,false,67.8,32,250,0.9,数据,VUHF
CD-0043,TS-0001,ND-0103,ND-0098,P2,true,68.8,4.8,400,0.995,话音,VUHF
CD-0044,TS-0001,ND-0104,ND-0008,P1,true,217.6,1.2,800,0.9,短消息,VUHF
CD-0045,TS-0001,ND-0093,ND-0077,P3,false,188.6,4.8,150,0.995,话音,VUHF
CD-0046,TS-0001,ND-0081,ND-0020,P1,true,91.8,4.8,250,0.995,话音,VUHF
CD-0047,TS-0001,ND-0131,ND-0045,P3,false,130.9,4.8,250,0.9,话音,HF
CD-0048,TS-0001,ND-0095,ND-0036,P2,true,222.6,1.2,800,0.995,短消息,VUHF
CD-0049,TS-0001,ND-0112,ND-0003,P2,false,74.2,4.8,250,0.99,话音,HF
CD-0050,TS-0001,ND-0063,ND-0080,P3,false,196.1,4.8,150,0.995,话音,VUHF
CD-0051,TS-0001,ND-0066,ND-0019,P3,false,222.8,1.2,250,0.99,短消息,VUHF
CD-0052,TS-0001,ND-0059,ND-0003,P2,true,141.3,32,250,0.9,数据,VUHF
CD-0053,TS-0001,ND-0033,ND-0114,P3,false,184.2,4.8,250,0.95,话音,HF
CD-0054,TS-0001,ND-0092,ND-0076,P2,false,144.4,1.2,150,0.99,短消息,VUHF
CD-0055,TS-0001,ND-0053,ND-0101,P3,false,36.8,32,250,0.9,数据,VUHF
CD-0056,TS-0001,ND-0110,ND-0013,P3,false,203.7,4.8,400,0.9,话音,HF
CD-0057,TS-0001,ND-0064,ND-0077,P3,false,179.3,4.8,250,0.99,话音,VUHF
CD-0058,TS-0001,ND-0048,ND-0095,P3,false,87.4,32,800,0.95,数据,VUHF
CD-0059,TS-0001,ND-0053,ND-0020,P3,false,100.2,32,400,0.95,数据,VUHF
CD-0060,TS-0001,ND-0017,ND-0088,P3,false,36.0,32,800,0.99,数据,VUHF
CD-0061,TS-0001,ND-0048,ND-0035,P2,false,61.5,32,800,0.99,数据,VUHF
CD-0062,TS-0001,ND-0028,ND-0082,P2,false,162.2,4.8,400,0.99,话音,VUHF
CD-0063,TS-0001,ND-0114,ND-0115,P3,false,228.5,4.8,400,0.99,话音,HF
CD-0064,TS-0001,ND-0087,ND-0020,P2,false,69.8,4.8,800,0.995,话音,VUHF
CD-0065,TS-0001,ND-0057,ND-0077,P3,false,238.1,32,800,0.99,数据,VUHF
CD-0066,TS-0001,ND-0089,ND-0061,P3,false,236.8,4.8,250,0.9,话音,VUHF
CD-0067,TS-0001,ND-0084,ND-0048,P3,false,16.9,1.2,250,0.99,短消息,VUHF
CD-0068,TS-0001,ND-0111,ND-0013,P3,false,125.5,4.8,800,0.99,话音,HF
CD-0069,TS-0001,ND-0035,ND-0063,P2,false,224.0,4.8,400,0.99,话音,VUHF
CD-0070,TS-0001,ND-0037,ND-0053,P3,false,162.9,4.8,400,0.9,话音,VUHF
CD-0071,TS-0001,ND-0116,ND-0043,P3,false,134.1,4.8,250,0.9,话音,HF
CD-0072,TS-0001,ND-0124,ND-0003,P3,false,90.2,32,150,0.9,数据,HF
CD-0073,TS-0001,ND-0117,ND-0029,P2,false,11.7,32,150,0.9,数据,HF
CD-0074,TS-0001,ND-0052,ND-0081,P3,false,12.1,32,250,0.995,数据,VUHF
CD-0075,TS-0001,ND-0036,ND-0054,P3,false,237.3,1.2,800,0.99,短消息,VUHF
CD-0076,TS-0001,ND-0032,ND-0018,P2,true,133.1,1.2,800,0.99,短消息,VUHF
CD-0077,TS-0001,ND-0016,ND-0036,P3,false,128.5,4.8,150,0.995,话音,VUHF
CD-0078,TS-0001,ND-0104,ND-0095,P3,false,226.5,32,150,0.95,数据,VUHF
CD-0079,TS-0001,ND-0060,ND-0072,P3,false,199.7,32,400,0.99,数据,VUHF
CD-0080,TS-0001,ND-0092,ND-0020,P3,false,81.1,4.8,150,0.99,话音,VUHF
CD-0081,TS-0001,ND-0051,ND-0080,P3,false,43.7,32,400,0.95,数据,VUHF
CD-0082,TS-0001,ND-0008,ND-0069,P2,false,193.8,1.2,400,0.9,短消息,VUHF
CD-0083,TS-0001,ND-0073,ND-0075,P3,false,237.8,1.2,250,0.95,短消息,VUHF
CD-0084,TS-0001,ND-0048,ND-0114,P2,false,205.1,4.8,150,0.95,话音,HF
CD-0085,TS-0001,ND-0093,ND-0084,P2,false,89.2,4.8,400,0.95,话音,VUHF
CD-0086,TS-0001,ND-0073,ND-0076,P3,false,49.7,4.8,400,0.95,话音,VUHF
CD-0087,TS-0001,ND-0024,ND-0126,P2,false,29.4,1.2,250,0.9,短消息,HF
CD-0088,TS-0001,ND-0012,ND-0085,P3,false,24.9,4.8,400,0.995,话音,VUHF
CD-0089,TS-0001,ND-0032,ND-0130,P2,true,61.9,4.8,800,0.95,话音,HF
CD-0090,TS-0001,ND-0101,ND-0078,P3,false,26.9,4.8,250,0.995,话音,VUHF
CD-0091,TS-0001,ND-0076,ND-0041,P3,false,28.6,4.8,800,0.9,话音,VUHF
CD-0092,TS-0002,ND-0122,ND-0045,P3,false,215.6,1.2,400,0.99,短消息,HF
CD-0093,TS-0002,ND-0018,ND-0011,P1,true,80.5,4.8,800,0.9,话音,VUHF
CD-0094,TS-0002,ND-0046,ND-0102,P2,false,162.3,32,400,0.99,数据,VUHF
CD-0095,TS-0002,ND-0014,ND-0129,P3,false,180.8,1.2,250,0.95,短消息,HF
CD-0096,TS-0002,ND-0109,ND-0004,P3,false,28.0,4.8,250,0.995,话音,HF
CD-0097,TS-0002,ND-0018,ND-0020,P1,true,214.7,1.2,800,0.9,短消息,VUHF
CD-0098,TS-0002,ND-0098,ND-0014,P1,true,129.5,4.8,400,0.99,话音,VUHF
CD-0099,TS-0002,ND-0011,ND-0014,P1,true,90.3,4.8,150,0.95,话音,VUHF
CD-0100,TS-0002,ND-0070,ND-0018,P1,true,5.7,4.8,800,0.99,话音,VUHF
CD-0101,TS-0002,ND-0014,ND-0001,P1,true,206.5,4.8,250,0.99,话音,HF
CD-0102,TS-0002,ND-0070,ND-0014,P1,true,109.2,4.8,800,0.99,话音,VUHF
CD-0103,TS-0002,ND-0013,ND-0012,P1,true,13.3,4.8,800,0.995,话音,VUHF
CD-0104,TS-0002,ND-0109,ND-0018,P2,false,117.6,1.2,250,0.995,短消息,HF
CD-0105,TS-0002,ND-0098,ND-0004,P1,true,32.0,32,250,0.9,数据,VUHF
CD-0106,TS-0002,ND-0001,ND-0048,P2,false,86.1,4.8,800,0.95,话音,HF
CD-0107,TS-0002,ND-0018,ND-0122,P3,false,110.6,1.2,400,0.95,短消息,HF
CD-0108,TS-0002,ND-0074,ND-0046,P2,true,16.2,4.8,400,0.9,话音,VUHF
CD-0109,TS-0002,ND-0013,ND-0001,P1,true,97.1,4.8,800,0.99,话音,HF
CD-0110,TS-0002,ND-0109,ND-0014,P3,false,151.9,32,250,0.995,数据,HF
CD-0111,TS-0002,ND-0070,ND-0090,P2,true,211.7,4.8,800,0.995,话音,VUHF
CD-0112,TS-0002,ND-0129,ND-0011,P3,false,203.1,4.8,400,0.995,话音,HF
CD-0113,TS-0002,ND-0102,ND-0089,P2,false,51.3,4.8,400,0.95,话音,VUHF
CD-0114,TS-0002,ND-0074,ND-0026,P3,false,160.1,32,400,0.995,数据,VUHF
CD-0115,TS-0002,ND-0070,ND-0041,P3,false,215.1,32,150,0.95,数据,VUHF
CD-0116,TS-0002,ND-0011,ND-0081,P1,true,81.8,32,800,0.995,数据,VUHF
CD-0117,TS-0002,ND-0097,ND-0047,P2,false,187.1,32,800,0.995,数据,VUHF
CD-0118,TS-0002,ND-0098,ND-0102,P2,false,222.9,32,250,0.995,数据,VUHF
CD-0119,TS-0002,ND-0042,ND-0097,P3,false,231.2,4.8,150,0.995,话音,VUHF
CD-0120,TS-0002,ND-0070,ND-0004,P1,true,142.8,32,250,0.95,数据,VUHF
CD-0121,TS-0002,ND-0042,ND-0098,P2,true,154.5,32,400,0.99,数据,VUHF
CD-0122,TS-0002,ND-0070,ND-0013,P1,true,87.5,4.8,250,0.95,话音,VUHF
CD-0123,TS-0002,ND-0046,ND-0004,P3,false,196.1,4.8,400,0.995,话音,VUHF
CD-0124,TS-0002,ND-0014,ND-0008,P1,true,152.7,4.8,250,0.99,话音,VUHF
CD-0125,TS-0002,ND-0018,ND-0097,P3,false,42.2,32,150,0.99,数据,VUHF
CD-0126,TS-0002,ND-0109,ND-0129,P3,false,174.0,32,150,0.95,数据,HF
CD-0127,TS-0002,ND-0004,ND-0061,P3,false,59.5,4.8,150,0.95,话音,VUHF
CD-0128,TS-0002,ND-0070,ND-0042,P2,false,44.6,32,250,0.9,数据,VUHF
CD-0129,TS-0002,ND-0041,ND-0097,P2,false,171.5,32,400,0.995,数据,VUHF
CD-0130,TS-0002,ND-0042,ND-0014,P2,false,112.7,1.2,150,0.99,短消息,VUHF
CD-0131,TS-0002,ND-0129,ND-0131,P2,false,235.6,4.8,400,0.99,话音,HF
CD-0132,TS-0002,ND-0041,ND-0013,P3,false,173.8,1.2,250,0.99,短消息,VUHF
CD-0133,TS-0002,ND-0004,ND-0102,P2,false,100.7,4.8,150,0.9,话音,VUHF
CD-0134,TS-0002,ND-0001,ND-0109,P2,false,168.3,32,250,0.95,数据,HF
CD-0135,TS-0002,ND-0074,ND-0032,P3,false,61.5,4.8,250,0.95,话音,VUHF
CD-0136,TS-0002,ND-0018,ND-0013,P1,true,47.4,1.2,800,0.99,短消息,VUHF
CD-0137,TS-0002,ND-0042,ND-0102,P2,false,13.5,4.8,400,0.95,话音,VUHF
CD-0138,TS-0002,ND-0109,ND-0011,P3,false,137.2,4.8,800,0.99,话音,HF
CD-0139,TS-0002,ND-0122,ND-0013,P3,false,234.5,4.8,800,0.9,话音,HF
CD-0140,TS-0002,ND-0004,ND-0041,P3,false,32.7,32,400,0.95,数据,VUHF
CD-0141,TS-0002,ND-0122,ND-0001,P3,false,164.3,1.2,150,0.995,短消息,HF
CD-0142,TS-0002,ND-0098,ND-0018,P1,true,196.2,4.8,400,0.99,话音,VUHF
CD-0143,TS-0002,ND-0070,ND-0097,P2,false,117.8,32,150,0.99,数据,VUHF
CD-0144,TS-0002,ND-0070,ND-0074,P2,false,89.2,4.8,400,0.9,话音,VUHF
CD-0145,TS-0002,ND-0004,ND-0057,P3,false,78.9,4.8,250,0.95,话音,VUHF
CD-0146,TS-0002,ND-0042,ND-0122,P3,false,4.4,1.2,150,0.995,短消息,HF
CD-0147,TS-0002,ND-0042,ND-0041,P2,false,210.1,4.8,800,0.995,话音,VUHF
CD-0148,TS-0002,ND-0011,ND-0083,P3,false,8.6,4.8,400,0.95,话音,VUHF
CD-0149,TS-0002,ND-0046,ND-0013,P3,false,144.1,4.8,400,0.95,话音,VUHF
CD-0150,TS-0002,ND-0014,ND-0004,P1,true,56.4,1.2,800,0.95,短消息,VUHF
CD-0151,TS-0002,ND-0102,ND-0082,P3,false,81.9,1.2,150,0.99,短消息,VUHF
CD-0152,TS-0002,ND-0013,ND-0128,P3,false,214.6,1.2,250,0.9,短消息,HF
CD-0153,TS-0002,ND-0122,ND-0041,P3,false,154.6,1.2,150,0.99,短消息,HF
CD-0154,TS-0002,ND-0098,ND-0030,P3,false,107.5,32,400,0.995,数据,VUHF
CD-0155,TS-0002,ND-0109,ND-0017,P2,true,80.5,1.2,800,0.95,短消息,HF
CD-0156,TS-0002,ND-0074,ND-0004,P3,false,134.6,32,250,0.995,数据,VUHF
CD-0157,TS-0002,ND-0046,ND-0077,P3,false,53.1,4.8,150,0.995,话音,VUHF
CD-0158,TS-0002,ND-0102,ND-0014,P2,false,141.4,4.8,400,0.99,话音,VUHF
CD-0159,TS-0002,ND-0014,ND-0034,P3,false,151.2,32,400,0.99,数据,VUHF
CD-0160,TS-0002,ND-0122,ND-0011,P3,false,149.8,32,400,0.95,数据,HF
CD-0161,TS-0002,ND-0046,ND-0036,P3,false,31.0,4.8,150,0.95,话音,VUHF
CD-0162,TS-0002,ND-0041,ND-0014,P2,false,223.9,4.8,800,0.9,话音,VUHF
CD-0163,TS-0002,ND-0042,ND-0111,P2,false,121.4,4.8,400,0.95,话音,HF
CD-0164,TS-0002,ND-0070,ND-0089,P3,false,90.5,1.2,400,0.9,短消息,VUHF
CD-0165,TS-0002,ND-0013,ND-0074,P3,false,9.9,4.8,400,0.95,话音,VUHF
CD-0166,TS-0002,ND-0074,ND-0042,P2,false,192.2,4.8,250,0.99,话音,VUHF
CD-0167,TS-0002,ND-0011,ND-0097,P2,false,138.7,1.2,250,0.95,短消息,VUHF
CD-0168,TS-0002,ND-0004,ND-0086,P1,true,14.3,1.2,400,0.9,短消息,VUHF
CD-0169,TS-0002,ND-0074,ND-0102,P2,false,186.8,32,400,0.99,数据,VUHF
CD-0170,TS-0002,ND-0102,ND-0033,P3,false,152.8,32,150,0.99,数据,VUHF
CD-0171,TS-0002,ND-0018,ND-0014,P1,true,233.0,4.8,250,0.99,话音,VUHF
CD-0172,TS-0002,ND-0041,ND-0018,P2,true,210.0,32,150,0.95,数据,VUHF
CD-0173,TS-0003,ND-0005,ND-0055,P2,false,153.2,1.2,800,0.9,短消息,VUHF
CD-0174,TS-0003,ND-0005,ND-0080,P2,true,221.5,4.8,400,0.99,话音,VUHF
CD-0175,TS-0003,ND-0047,ND-0001,P2,false,182.1,4.8,800,0.95,话音,HF
CD-0176,TS-0003,ND-0005,ND-0067,P1,true,39.3,1.2,150,0.99,短消息,VUHF
CD-0177,TS-0003,ND-0015,ND-0057,P2,false,184.3,4.8,400,0.9,话音,VUHF
CD-0178,TS-0003,ND-0015,ND-0102,P2,false,204.0,4.8,250,0.9,话音,VUHF
CD-0179,TS-0003,ND-0047,ND-0005,P3,false,189.1,4.8,150,0.9,话音,VUHF
CD-0180,TS-0003,ND-0015,ND-0018,P1,true,193.0,32,400,0.9,数据,VUHF
CD-0181,TS-0003,ND-0015,ND-0047,P3,false,105.7,1.2,800,0.9,短消息,VUHF
CD-0182,TS-0003,ND-0047,ND-0002,P2,false,100.7,1.2,800,0.95,短消息,HF
CD-0183,TS-0003,ND-0015,ND-0005,P1,true,155.0,1.2,150,0.995,短消息,VUHF
CD-0184,TS-0003,ND-0047,ND-0073,P3,false,101.5,4.8,250,0.995,话音,VUHF
CD-0185,TS-0003,ND-0005,ND-0090,P2,false,150.7,4.8,800,0.9,话音,VUHF
CD-0186,TS-0003,ND-0047,ND-0067,P3,false,206.9,1.2,400,0.95,短消息,VUHF
CD-0187,TS-0003,ND-0047,ND-0046,P3,false,70.2,1.2,400,0.95,短消息,VUHF
CD-0188,TS-0003,ND-0015,ND-0124,P2,false,90.5,4.8,800,0.95,话音,HF
CD-0189,TS-0003,ND-0067,ND-0095,P2,true,120.4,32,150,0.995,数据,VUHF
CD-0190,TS-0003,ND-0015,ND-0067,P1,true,119.1,1.2,150,0.99,短消息,VUHF
CD-0191,TS-0003,ND-0015,ND-0017,P1,true,38.6,1.2,150,0.99,短消息,VUHF
CD-0192,TS-0003,ND-0015,ND-0069,P2,false,53.5,4.8,400,0.99,话音,VUHF
CD-0193,TS-0003,ND-0067,ND-0094,P2,false,165.5,1.2,800,0.99,短消息,VUHF
CD-0194,TS-0003,ND-0047,ND-0010,P3,false,155.8,4.8,150,0.9,话音,VUHF
CD-0195,TS-0003,ND-0047,ND-0083,P3,false,41.6,32,150,0.95,数据,VUHF
CD-0196,TS-0003,ND-0005,ND-0016,P1,true,73.5,32,400,0.95,数据,VUHF
CD-0197,TS-0003,ND-0015,ND-0081,P1,true,10.0,4.8,150,0.9,话音,VUHF
CD-0198,TS-0003,ND-0005,ND-0106,P2,false,176.6,32,150,0.9,数据,VUHF
CD-0199,TS-0003,ND-0047,ND-0111,P2,false,142.2,4.8,400,0.95,话音,HF
CD-0200,TS-0003,ND-0005,ND-0025,P3,false,124.0,1.2,400,0.9,短消息,VUHF
CD-0201,TS-0003,ND-0015,ND-0087,P2,true,107.9,1.2,800,0.9,短消息,VUHF
CD-0202,TS-0003,ND-0005,ND-0093,P3,false,47.3,4.8,250,0.995,话音,VUHF
CD-0203,TS-0003,ND-0047,ND-0109,P2,false,86.7,4.8,150,0.995,话音,HF
CD-0204,TS-0003,ND-0047,ND-0011,P3,false,4.4,1.2,250,0.995,短消息,VUHF
CD-0205,TS-0003,ND-0015,ND-0105,P2,true,216.9,1.2,150,0.99,短消息,VUHF
CD-0206,TS-0003,ND-0047,ND-0045,P3,false,52.7,1.2,250,0.995,短消息,VUHF
CD-0207,TS-0003,ND-0047,ND-0041,P2,false,9.5,4.8,800,0.99,话音,VUHF
CD-0208,TS-0003,ND-0005,ND-0108,P2,true,159.5,1.2,150,0.9,短消息,HF
CD-0209,TS-0003,ND-0015,ND-0070,P1,true,202.1,4.8,250,0.99,话音,VUHF
CD-0210,TS-0003,ND-0047,ND-0128,P3,false,94.9,4.8,400,0.99,话音,HF
CD-0211,TS-0003,ND-0067,ND-0079,P3,false,205.9,4.8,800,0.99,话音,VUHF
CD-0212,TS-0003,ND-0067,ND-0026,P3,false,177.3,4.8,150,0.995,话音,VUHF
CD-0213,TS-0003,ND-0047,ND-0092,P3,false,191.8,32,800,0.995,数据,VUHF
CD-0214,TS-0003,ND-0015,ND-0109,P2,true,93.3,32,400,0.9,数据,HF
CD-0215,TS-0003,ND-0067,ND-0008,P1,true,38.2,32,400,0.995,数据,VUHF
CD-0216,TS-0003,ND-0015,ND-0012,P1,true,233.5,4.8,250,0.95,话音,VUHF
CD-0217,TS-0003,ND-0015,ND-0048,P3,false,222.4,4.8,400,0.99,话音,VUHF
CD-0218,TS-0003,ND-0015,ND-0097,P3,false,209.7,4.8,800,0.99,话音,VUHF
CD-0219,TS-0003,ND-0067,ND-0030,P2,false,76.7,32,400,0.99,数据,VUHF
CD-0220,TS-0003,ND-0015,ND-0088,P2,false,210.9,32,250,0.99,数据,VUHF
CD-0221,TS-0003,ND-0047,ND-0032,P3,false,224.4,32,400,0.95,数据,VUHF
CD-0222,TS-0003,ND-0067,ND-0021,P1,true,158.4,1.2,250,0.995,短消息,VUHF
CD-0223,TS-0003,ND-0005,ND-0019,P1,true,37.5,1.2,800,0.9,短消息,VUHF
CD-0224,TS-0003,ND-0015,ND-0039,P2,false,41.8,32,250,0.95,数据,VUHF
CD-0225,TS-0003,ND-0015,ND-0064,P2,true,174.8,1.2,150,0.995,短消息,VUHF
CD-0226,TS-0003,ND-0005,ND-0125,P2,false,130.7,4.8,800,0.95,话音,HF
CD-0227,TS-0003,ND-0015,ND-0038,P3,false,37.7,1.2,400,0.99,短消息,VUHF
CD-0228,TS-0003,ND-0067,ND-0088,P3,false,65.7,32,800,0.9,数据,VUHF
CD-0229,TS-0003,ND-0047,ND-0125,P3,false,137.1,1.2,800,0.95,短消息,HF
CD-0230,TS-0003,ND-0047,ND-0079,P3,false,237.6,4.8,400,0.995,话音,VUHF
CD-0231,TS-0003,ND-0047,ND-0003,P3,false,214.3,4.8,400,0.95,话音,VUHF
CD-0232,TS-0003,ND-0047,ND-0020,P3,false,30.5,32,250,0.95,数据,VUHF
CD-0233,TS-0003,ND-0015,ND-0073,P3,false,70.7,1.2,800,0.99,短消息,VUHF
CD-0234,TS-0003,ND-0047,ND-0051,P2,true,145.2,4.8,150,0.9,话音,VUHF
CD-0235,TS-0003,ND-0005,ND-0022,P1,true,97.7,4.8,250,0.95,话音,VUHF
CD-0236,TS-0003,ND-0067,ND-0060,P3,false,223.5,1.2,250,0.95,短消息,VUHF
CD-0237,TS-0003,ND-0005,ND-0086,P1,true,169.1,1.2,400,0.99,短消息,VUHF
CD-0238,TS-0003,ND-0067,ND-0014,P1,true,89.0,1.2,150,0.95,短消息,VUHF
CD-0239,TS-0003,ND-0047,ND-0029,P2,false,108.9,32,400,0.995,数据,VUHF
CD-0240,TS-0003,ND-0067,ND-0090,P3,false,179.2,4.8,400,0.995,话音,VUHF
CD-0241,TS-0003,ND-0067,ND-0099,P3,false,12.3,32,800,0.99,数据,VUHF
CD-0242,TS-0003,ND-0047,ND-0065,P2,false,101.7,4.8,800,0.99,话音,VUHF
CD-0243,TS-0003,ND-0015,ND-0046,P3,false,25.1,4.8,800,0.99,话音,VUHF
CD-0244,TS-0003,ND-0047,ND-0106,P3,false,222.4,1.2,150,0.99,短消息,VUHF
CD-0245,TS-0003,ND-0005,ND-0020,P1,true,55.3,32,150,0.995,数据,VUHF
CD-0246,TS-0003,ND-0047,ND-0114,P3,false,164.6,4.8,800,0.9,话音,HF
CD-0247,TS-0003,ND-0005,ND-0003,P1,true,92.9,4.8,250,0.9,话音,VUHF
CD-0248,TS-0004,ND-0022,ND-0069,P2,false,52.0,32,150,0.95,数据,VUHF
CD-0249,TS-0004,ND-0049,ND-0096,P2,true,86.5,32,800,0.95,数据,VUHF
CD-0250,TS-0004,ND-0058,ND-0020,P3,false,79.6,32,400,0.995,数据,VUHF
CD-0251,TS-0004,ND-0054,ND-0077,P3,false,152.8,32,250,0.99,数据,VUHF
CD-0252,TS-0004,ND-0062,ND-0086,P3,false,73.5,1.2,800,0.9,短消息,VUHF
CD-0253,TS-0004,ND-0082,ND-0073,P2,false,189.8,32,800,0.9,数据,VUHF
CD-0254,TS-0004,ND-0090,ND-0022,P3,false,89.4,1.2,250,0.99,短消息,VUHF
CD-0255,TS-0004,ND-0034,ND-0123,P3,false,218.2,32,250,0.9,数据,HF
CD-0256,TS-0004,ND-0105,ND-0106,P2,false,234.4,32,400,0.99,数据,VUHF
CD-0257,TS-0004,ND-0050,ND-0029,P3,false,163.0,32,800,0.995,数据,VUHF
CD-0258,TS-0004,ND-0034,ND-0120,P3,false,173.3,4.8,150,0.995,话音,HF
CD-0259,TS-0004,ND-0090,ND-0016,P2,true,151.1,32,400,0.995,数据,VUHF
CD-0260,TS-0004,ND-0069,ND-0019,P2,false,172.5,1.2,800,0.995,短消息,VUHF
CD-0261,TS-0004,ND-0105,ND-0090,P2,false,126.6,1.2,800,0.9,短消息,VUHF
CD-0262,TS-0004,ND-0026,ND-0006,P2,false,104.4,4.8,800,0.99,话音,VUHF
CD-0263,TS-0004,ND-0062,ND-0106,P2,false,124.6,1.2,250,0.9,短消息,VUHF
CD-0264,TS-0004,ND-0106,ND-0049,P3,false,50.1,32,800,0.95,数据,VUHF
CD-0265,TS-0004,ND-0058,ND-0106,P3,false,68.8,1.2,800,0.995,短消息,VUHF
CD-0266,TS-0004,ND-0019,ND-0050,P3,false,174.7,32,250,0.99,数据,VUHF
CD-0267,TS-0004,ND-0030,ND-0013,P3,false,141.1,4.8,800,0.95,话音,VUHF
CD-0268,TS-0004,ND-0082,ND-0064,P2,true,160.2,4.8,150,0.95,话音,VUHF
CD-0269,TS-0004,ND-0021,ND-0058,P2,true,46.6,1.2,250,0.9,短消息,VUHF
CD-0270,TS-0004,ND-0034,ND-0077,P2,false,1.5,4.8,400,0.9,话音,VUHF
CD-0271,TS-0004,ND-0019,ND-0020,P1,true,112.2,32,250,0.995,数据,VUHF
CD-0272,TS-0004,ND-0106,ND-0086,P3,false,60.9,4.8,150,0.995,话音,VUHF
CD-0273,TS-0004,ND-0106,ND-0078,P2,false,202.4,32,150,0.99,数据,VUHF
CD-0274,TS-0004,ND-0105,ND-0004,P3,false,223.6,4.8,400,0.9,话音,VUHF
CD-0275,TS-0004,ND-0090,ND-0030,P3,false,82.3,4.8,400,0.99,话音,VUHF
